FGA_PG_home,FGA_PG_visitor,FG%_PG_home,FG%_PG_visitor,3P_PG_home,3P_PG_visitor,3PA_PG_home,3PA_PG_visitor,3P%_PG_home,3P%_PG_visitor,2P_PG_home,2P_PG_visitor,2PA_PG_home,2PA_PG_visitor,ORB_PG_home,ORB_PG_visitor,DRB_PG_home,DRB_PG_visitor,TRB_PG_home,TRB_PG_visitor,AST_PG_home,AST_PG_visitor,STL_PG_home,STL_PG_visitor,BLK_PG_home,BLK_PG_visitor,TOV_PG_home,TOV_PG_visitor
78.3,78.3,44.4,44.3,4.4,6.7,12.8,18.5,34.5,36.4,30.3,28,65.5,59.7,12.9,10.7,30.6,31.7,43.4,42.4,21.8,21.1,7,6.9,6.1,4.6,13.8,13.8
81.6,85.1,45.7,45.9,5.6,6.4,15.5,17,36.4,37.4,31.6,32.7,66.1,68.1,12.1,12.5,30.9,29.9,42.9,42.4,19.6,24.5,8.6,8.2,5.6,3.9,13.4,13.1
80.8,80.7,43.7,45.9,7.9,3.9,22.1,11.5,35.5,34,27.5,33.1,58.7,69.2,12.5,11.8,30.6,30.2,43.2,42,20.4,23.9,6.2,9.1,4.2,6,14.3,14.9
81.5,75.2,44.7,43.2,3.7,6.6,11,19.2,33.2,34.4,32.8,25.9,70.5,56,13.6,10.6,28.7,29.5,42.3,40.1,22.6,18.2,8,7.5,5.6,4.4,13.9,14.3
81.5,80.2,45.4,45,3.9,4,11.2,11.3,34.9,35.1,33.1,32.2,70.3,69,12.7,12,31,29.3,43.7,41.3,19.3,21,7.7,6.5,5.4,3.5,16.1,13.8
81.2,78.3,44.4,44.3,7.9,6.7,20.5,18.5,38.5,36.4,28.1,28,60.7,59.7,10.3,10.7,29.8,31.7,40.1,42.4,20.4,21.1,7.6,6.9,3.9,4.6,13.3,13.8
79.4,82.1,46.8,43.7,5.3,6.2,15.3,17.7,34.9,34.8,31.8,29.8,64.1,64.4,11.1,11.1,29.7,30.9,40.8,42,22.1,20.9,8.1,9.2,5.2,3.9,15.8,15.5
76.5,82.9,44.7,43.7,6.5,6.3,18.1,18.3,35.7,34.3,27.7,29.9,58.4,64.6,10.8,13.8,28.1,29,39,42.8,20.9,19.1,8.5,8.7,5.8,4.2,14.6,14.3
80.8,80.5,45.9,45.1,4.8,5.4,14,15.1,34.5,35.6,32.3,30.9,66.9,65.4,11.5,11.8,31.5,29.2,43,41,23.4,20.3,5.6,7.7,5.5,3.2,13.2,14.7
78.3,77.7,42.9,48.6,5.3,5.8,14.7,15.4,36.2,37.7,28.3,32,63.6,62.3,10.4,10.8,29.1,32.2,39.5,43,21.6,21.8,7.9,6.4,3.8,5.8,14.2,13.7
80,81.6,41.5,45.7,5.1,5.6,16,15.5,31.5,36.4,28.1,31.6,63.9,66.1,12.4,12.1,27.8,30.9,40.2,42.9,21,19.6,6.7,8.6,3.8,5.6,14.8,13.4
78.7,85.1,45.3,45.9,6.2,6.4,17,17,36.3,37.4,29.5,32.7,61.6,68.1,12,12.5,30.4,29.9,42.4,42.4,21.6,24.5,7.5,8.2,6.6,3.9,13.7,13.1
85.6,81.4,47.7,44.1,9.7,3.7,24.7,11.9,39.3,31.2,31.2,32.2,60.9,69.5,11.8,13.4,32.3,28.5,44.1,41.9,23.5,19.7,7,7.7,5.5,4.2,13.7,16.1
85.8,78.3,43,45.1,7.6,5.1,21.6,14.2,35.2,36.2,29.3,30.2,64.2,64.2,13,11.8,29.7,29.3,42.7,41.1,22.1,21,7.8,7.1,5.1,6.6,13.6,16
77.7,79.2,45.9,44.4,2.8,8.1,8.2,22.2,34.5,36.5,32.8,27,69.5,57,12,12.7,29.9,28.2,41.9,40.9,23.2,18.1,7.3,6.7,5.1,4.1,15.7,13.6
76.8,80.8,44.9,43.7,3,7.9,9.3,22.1,32.8,35.5,31.4,27.5,67.5,58.7,12.8,12.5,27.4,30.6,40.1,43.2,22.3,20.4,6.6,6.2,4.6,4.2,15.8,14.3
