Year,Month,Start Time,Visitor,VisitorPTS,Home,HomePTS,Box Score,OT?,Attend,Notes,Total Points,Winner
2005,november,8:00p,Houston Rockets,79,Detroit Pistons,87,Box Score,,22076,,166,Detroit Pistons
2005,november,8:30p,Sacramento Kings,98,Dallas Mavericks,107,Box Score,,20041,,205,Dallas Mavericks
2005,november,10:30p,Denver Nuggets,78,Los Angeles Lakers,89,Box Score,,18997,,167,Los Angeles Lakers
2005,november,7:00p,Indiana Pacers,109,Cleveland Cavaliers,104,Box Score,2OT,19730,,213,Indiana Pacers
2005,november,7:00p,Milwaukee Bucks,92,Orlando Magic,93,Box Score,,15138,,185,Orlando Magic
2005,november,7:00p,Houston Rockets,88,Toronto Raptors,95,Box Score,,19800,,183,Toronto Raptors
2005,november,7:30p,Philadelphia 76ers,98,Boston Celtics,95,Box Score,,18624,,193,Philadelphia 76ers
2005,november,8:00p,Washington Wizards,103,Memphis Grizzlies,91,Box Score,,18119,,194,Washington Wizards
2005,november,8:00p,New York Knicks,93,Minnesota Timberwolves,99,Box Score,,17295,,192,Minnesota Timberwolves
2005,november,8:00p,Miami Heat,100,New Jersey Nets,77,Box Score,,17260,,177,Miami Heat
2005,november,8:00p,Dallas Mavericks,106,New Orleans Hornets,91,Box Score,,17682,,197,Dallas Mavericks
2005,november,8:30p,Sacramento Kings,85,San Antonio Spurs,101,Box Score,,18797,,186,San Antonio Spurs
2005,november,9:00p,Atlanta Hawks,82,Phoenix Suns,112,Box Score,,18422,,194,Phoenix Suns
2005,november,10:30p,Portland Trail Blazers,78,Golden State Warriors,75,Box Score,,15351,,153,Portland Trail Blazers
2005,november,10:30p,Seattle SuperSonics,84,Los Angeles Clippers,114,Box Score,,13371,,198,Los Angeles Clippers
2005,november,10:30p,Los Angeles Lakers,78,Utah Jazz,104,Box Score,,19911,,182,Utah Jazz
2005,november,7:00p,Washington Wizards,103,Charlotte Bobcats,96,Box Score,,23319,,199,Washington Wizards
2005,november,8:00p,Cleveland Cavaliers,86,Miami Heat,92,Box Score,,20235,,178,Miami Heat
2005,november,10:30p,Minnesota Timberwolves,92,Denver Nuggets,94,Box Score,OT,19099,,186,Denver Nuggets
2005,november,7:00p,Phoenix Suns,108,Philadelphia 76ers,98,Box Score,,19385,,206,Phoenix Suns
2005,november,7:00p,Detroit Pistons,89,Toronto Raptors,101,Box Score,,15284,,190,Toronto Raptors
2005,november,7:30p,Indiana Pacers,100,Boston Celtics,94,Box Score,,13702,,194,Indiana Pacers
2005,november,8:00p,Houston Rockets,89,Memphis Grizzlies,81,Box Score,,18119,,170,Houston Rockets
2005,november,8:00p,Orlando Magic,90,New Orleans Hornets,89,Box Score,,14218,,179,Orlando Magic
2005,november,8:30p,New Jersey Nets,111,Chicago Bulls,106,Box Score,2OT,20117,,217,New Jersey Nets
2005,november,10:00p,Los Angeles Clippers,81,Portland Trail Blazers,94,Box Score,,19818,,175,Portland Trail Blazers
2005,november,10:30p,Utah Jazz,102,Golden State Warriors,80,Box Score,,15668,,182,Utah Jazz
2005,november,10:30p,San Antonio Spurs,105,Los Angeles Lakers,96,Box Score,,18997,,201,San Antonio Spurs
2005,november,10:30p,Atlanta Hawks,85,Seattle SuperSonics,106,Box Score,,16103,,191,Seattle SuperSonics
2005,november,7:00p,Orlando Magic,100,Charlotte Bobcats,111,Box Score,,20873,,211,Charlotte Bobcats
2005,november,7:00p,Miami Heat,118,Washington Wizards,106,Box Score,,19859,,224,Miami Heat
2005,november,7:30p,Philadelphia 76ers,91,Detroit Pistons,99,Box Score,,22076,,190,Detroit Pistons
2005,november,7:30p,Boston Celtics,107,New York Knicks,73,Box Score,,19763,,180,Boston Celtics
2005,november,8:00p,Chicago Bulls,90,Indiana Pacers,100,Box Score,,18022,,190,Indiana Pacers
2005,november,8:00p,New Orleans Hornets,92,Minnesota Timberwolves,99,Box Score,,15812,,191,Minnesota Timberwolves
2005,november,8:00p,Phoenix Suns,112,New Jersey Nets,80,Box Score,,13254,,192,Phoenix Suns
2005,november,8:30p,Memphis Grizzlies,88,Dallas Mavericks,112,Box Score,,19796,,200,Dallas Mavericks
2005,november,8:30p,Sacramento Kings,101,Houston Rockets,104,Box Score,OT,18003,,205,Houston Rockets
2005,november,8:30p,Cleveland Cavaliers,88,Milwaukee Bucks,102,Box Score,,17863,,190,Milwaukee Bucks
2005,november,9:00p,Utah Jazz,106,Denver Nuggets,82,Box Score,,19099,,188,Utah Jazz
2005,november,10:30p,Los Angeles Clippers,94,Golden State Warriors,86,Box Score,,16385,,180,Los Angeles Clippers
2005,november,12:30p,Portland Trail Blazers,97,Toronto Raptors,101,Box Score,,13863,,198,Toronto Raptors
2005,november,8:00p,San Antonio Spurs,94,Seattle SuperSonics,113,Box Score,,15851,,207,Seattle SuperSonics
2005,november,9:30p,Atlanta Hawks,90,Los Angeles Lakers,106,Box Score,,18997,,196,Los Angeles Lakers
2005,november,8:30p,Golden State Warriors,98,Dallas Mavericks,101,Box Score,OT,19527,,199,Dallas Mavericks
2005,november,9:00p,Denver Nuggets,91,Utah Jazz,102,Box Score,,18667,,193,Utah Jazz
2005,november,10:30p,Detroit Pistons,99,Los Angeles Clippers,96,Box Score,2OT,15866,,195,Detroit Pistons
2005,november,7:00p,Dallas Mavericks,84,Orlando Magic,94,Box Score,,13155,,178,Orlando Magic
2005,november,7:30p,Cleveland Cavaliers,93,Atlanta Hawks,79,Box Score,,19624,,172,Cleveland Cavaliers
2005,november,7:30p,Washington Wizards,93,Miami Heat,103,Box Score,,18465,,196,Miami Heat
2005,november,7:30p,Portland Trail Blazers,60,New Jersey Nets,64,Box Score,,13621,,124,New Jersey Nets
2005,november,7:30p,Philadelphia 76ers,88,New York Knicks,96,Box Score,,19001,,184,New York Knicks
2005,november,8:00p,Indiana Pacers,102,Minnesota Timberwolves,101,Box Score,,15409,,203,Indiana Pacers
2005,november,8:00p,Los Angeles Lakers,106,New Orleans Hornets,98,Box Score,,17202,,204,Los Angeles Lakers
2005,november,8:30p,Phoenix Suns,94,Chicago Bulls,74,Box Score,,17595,,168,Phoenix Suns
2005,november,8:30p,Memphis Grizzlies,87,Houston Rockets,90,Box Score,,11568,,177,Houston Rockets
